Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,210010,"Food","Cheese","Other (Chilled)","Soft Cream Cheese : Full Fat",,"Own","Standard","1 x 2kg",1.0000,1,"2.000","kg","tub",0%,"104843","8.90","IHG-ENTEGRA","2.0000000","kg","8.9",,"1.0000","1","2.000","2.0000000",
,210321,"Food","Dessert Sundries & Pie Fillings","Treacle","Black Treacle",,"Own","Standard","1 x 454g",1.0000,1,"454.000","g","tin",0%,"101845","1.03","IHG-ENTEGRA","0.4540000","kg","1.03",,"1.0000","1","0.454","0.4540000",
,210322,"Food","Dessert Sundries & Pie Fillings","Treacle","Black Treacle",,"Own","Standard","1 x 7.257kg",1.0000,1,"7.260","kg","tub",0%,"103530","10.29","IHG-ENTEGRA","7.2600000","kg","10.29",,"1.0000","1","7.260","7.2600000",
,210564,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit Puree","Fruits of the Forest Puree",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","each",0%,"107979","8.14","IHG-ENTEGRA","1.0000000","kg","8.14",,"1.0000","1","1.000","1.0000000",
,210587,"Food","Ice Cream, Lollies & Fzn Fruit","Frozen Fruit Puree","Wild : Strawberry Puree",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg","each",0%,"103465","16.67","IHG-ENTEGRA","1.0000000","kg","16.67",,"1.0000","1","1.000","1.0000000",
,211892,"Food","Oil","Speciality Oil","Walnut Oil",,"Own","Standard","1 x 50cl",1.0000,1,"50.000","cl",,0%,"100165","4.96","IHG-ENTEGRA","50.0000000","cl","4.96",,"1.0000","1","50.000","50.0000000",
,212383,"Food","Baking Ingredients","Sundries","Yeast : Fresh",,"Own","Standard","1 x 1kg",1.0000,1,"1.000","kg",,0%,"110163","1.41","IHG-ENTEGRA","1.0000000","kg","1.41",,"1.0000","1","1.000","1.0000000",
,217040,"Food","Hot Drinks","Tea - Speciality","English : Breakfast Tea : Tagged",,"Own","Standard","1 x 100 x 1 each",1.0000,100,"1.000","each",,0%,"100272","7.02","IHG-ENTEGRA","100.0000000","each","0.0702",,"1.0000","100","1.000","100.0000000",
,217725,"Food","Baking Ingredients","Dried Fruit","Cherries : Red Glace",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"100989","5.01","IHG-ENTEGRA","1.0000000","kg","5.01",,"1.0000","1","1.000","1.0000000",
,218032,"Food","Baking Ingredients","Sundries","Leaf Gelatine : Gold",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"108122","24.31","IHG-ENTEGRA","1.0000000","kg","24.31",,"1.0000","1","1.000","1.0000000",
