Market Code,PID,Category,Sub Category,Tertiary Category,Description,Comments,Brand,Brand Type,Pack Description,No. Packs in a Case,No. Units in a Single Pack,Unit Size,Unit Measure,Unit Name,Tax Rate,SKU,Price,Price List, Units per Case, Converted To,Unit Price,Supplier Description,SplitMultipleRule,PackSize,UnitSizeMultiple,UnitsPerCase
,1534599,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Cranberry Twist : Mini",,"Own","Standard","100 x 30 g",1.0000,100,"30.000","g",,0%,"BRI32156","26.57","IHG - Entegra - P15","3.0000000","kg","0.2657",,"1.0000","100","0.030","3.0000000",
,1534600,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Strawberry Lattice : Mini",,,"Standard","1 x 100 x 40g",1.0000,100,"1.000","each",,0%,"","23.38","IHG - Entegra - P15","100.0000000","each","0.2338",,"1.0000","100","1.000","100.0000000",
,1536363,"Food","Fruit (Frozen)","All other","Apricot : Halves",,,,"5 x 1 kg",1.0000,5,"1.000","kg",,0%,"FRU200","22.35","IHG - Entegra - P15","5.0000000","kg","4.47",,"1.0000","5","1.000","5.0000000",
,1541418,"Food","Baking Ingredients","Chocolate Products","BLOND ORELYS : 35%",,,,"1 x 3 kg",1.0000,1,"3.000","kg",,0%,"VAL13536","51.17","IHG - Entegra - P15","3.0000000","kg","51.17",,"1.0000","1","3.000","3.0000000",
,1553010,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Croissant : Large",,"Own","Standard","120 x 50 g",120.0000,1,"50.000","g",,0%,"BRI32960","35.88","IHG - Entegra - P15","6.0000000","kg","0.299",,"120.0000","1","0.050","6.0000000",
,1570566,"Food","Baking Ingredients","Chocolate Products","Tanariva : Milk Chocolate : 33% : From Madagascar",,"Own","Standard","1 x 3kg",1.0000,1,"3.000","kg",,0%,"VAL4659","38.98","IHG - Entegra - P15","3.0000000","kg","38.98",,"1.0000","1","3.000","3.0000000",
,1570574,"Food","Baking Ingredients","Chocolate Products","Illanka : Chocolate : 63% : Peru",,"Own","Standard","1 x 3kg",1.0000,1,"3.000","kg",,0%,"VAL9559","55.48","IHG - Entegra - P15","3.0000000","kg","55.48",,"1.0000","1","3.000","3.0000000",
,1667965,"Food","Cereal, Pulses & Potato","Cous Cous","Cous Cous : Pearl : Toasted",,"Own","Standard","1 x 350 g",1.0000,1,"350.000","g","bag",0%,"SAB668","1.81","IHG - Entegra - P15","0.3500000","kg","1.81",,"1.0000","1","0.350","0.3500000",
,1671022,"Food","Baking Ingredients","Sundries","Dried Egg Powder",,,,"1 x 1 kg",1.0000,1,"1.000","kg",,0%,"LOU251B","43.08","IHG - Entegra - P15","1.0000000","kg","43.08",,"1.0000","1","1.000","1.0000000",
,1763060,"Food","Bakery (Frozen)","Bread (Frozen)","Le : Pain Cerealier : Sourdough : Flour",,"Own","Standard","16 x 450 g",1.0000,16,"450.000","g",,0%,"BRI32992","30.27","IHG - Entegra - P15","7.2000000","kg","1.8919",,"1.0000","16","0.450","7.2000000",
,1763066,"Food","Bakery (Frozen)","Bread (Frozen)","Le : Pain Pochon : Sourdough : (Buckwheat flour sourdough)",,"Own","Standard","16 x 450 g",1.0000,16,"450.000","g",,0%,"BRI32993","33.63","IHG - Entegra - P15","7.2000000","kg","2.1019",,"1.0000","16","0.450","7.2000000",
,1780299,"Food","Bakery (Frozen)","Morning Goods/Viennoiserie (Frozen)","Pain au Chocolat : ready to prove : Large : AOP butter",,"Own","Standard","150 x 80 g",1.0000,150,"80.000","g",,0%,"BRI31803","97.13","IHG - Entegra - P15","12.0000000","kg","0.6475",,"1.0000","150","0.080","12.0000000",
,1784083,"Food","Bakery (Frozen)","Bread (Frozen)","Sourdough : White : Frozen White Parisien Sourdough",,"Own","Standard","8 x 1.1 kg",1.0000,8,"1.100","kg",,0%,"BRI34672","30.16","IHG - Entegra - P15","8.8000000","kg","3.77",,"1.0000","8","1.100","8.8000000",
,1784093,"Food","Desserts & Puddings (Chilled)","Individual Desserts (Chilled)","Macaroon : Mini : Raspberry",,"Own",,"2 x 48 each",2.0000,1,"48.000","each",,0%,"BRI35721","41.98","IHG - Entegra - P15","96.0000000","each","20.99",,"2.0000","1","48.000","96.0000000",
,1817800,"Food","Baking Ingredients","Flavouring","Isa Patissiere : Custard Cream Powder : Cold Processed Mix",,"Own","Standard","1 x 5 kg",1.0000,1,"5.000","kg",,0%,"CSM24001","28.39","IHG - Entegra - P15","5.0000000","kg","28.39",,"1.0000","1","5.000","5.0000000",
,1825415,"Food","Meat & Poultry (Chilled)","Venison (Chilled)","Loin Fillet : 0.75-1KG : Order by Packet",,"Own","Standard","1 x 1 kg",1.0000,1,"1.000","kg",,0%,"TUR121","32.89","IHG - Entegra - P15","1.0000000","kg","32.89",,"1.0000","1","1.000","1.0000000",
,1825637,"Food","Baking Ingredients","Covering, Decoration & Icing","Candied Chestnuts in Syrup : Whole",,,,"1 x 1 kg",1.0000,1,"1.000","kg",,20%,"COR108","32.85","IHG - Entegra - P15","1.0000000","kg","32.85",,"1.0000","1","1.000","1.0000000",
,1896365,"Food","Preserves, Jam & Spread","Spread","Croquant : Speculoos' Crunchy Paste",,,"Standard","1 x 4 kg",1.0000,1,"4.000","kg",,0%,"CSM246","49.27","IHG - Entegra - P15","4.0000000","kg","49.27",,"1.0000","1","4.000","4.0000000",
